date,home_team,score,away_team
19-08-2023,Cosenza,3 - 0,Ascoli
26-08-2023,Modena,1 - 0,Ascoli
29-08-2023,Ascoli,3 - 0,Feralpisalo
02-09-2023,Sudtirol,3 - 1,Ascoli
16-09-2023,Ascoli,0 - 1,Palermo
23-09-2023,Cremonese,2 - 2,Ascoli
26-09-2023,Ascoli,2 - 0,Ternana
30-09-2023,Brescia,1 - 1,Ascoli
07-10-2023,Ascoli,1 - 1,Sampdoria
21-10-2023,Lecco,0 - 2,Ascoli
28-10-2023,Ascoli,1 - 3,Parma
04-11-2023,Bari,1 - 0,Ascoli
11-11-2023,Ascoli,0 - 1,Como
25-11-2023,Reggiana,1 - 1,Ascoli
02-12-2023,Venezia,3 - 1,Ascoli
09-12-2023,Ascoli,1 - 2,Spezia
16-12-2023,Ascoli,1 - 0,Catanzaro
23-12-2023,Pisa,1 - 0,Ascoli
26-12-2023,Ascoli,0 - 0,Cittadella
14-01-2024,Parma,1 - 1,Ascoli
21-01-2024,Ascoli,2 - 2,Bari
27-01-2024,Como,0 - 2,Ascoli
04-02-2024,Ascoli,1 - 2,Sudtirol
10-02-2024,Catanzaro,3 - 2,Ascoli
16-02-2024,Ascoli,0 - 0,Cremonese
24-02-2024,Feralpisalo,0 - 1,Ascoli
27-02-2024,Ascoli,1 - 1,Brescia
03-03-2024,Ascoli,0 - 0,Reggiana
11-03-2024,Sampdoria,2 - 1,Ascoli
17-03-2024,Ascoli,4 - 1,Lecco
01-04-2024,Spezia,2 - 1,Ascoli
07-04-2024,Ascoli,0 - 0,Venezia
13-04-2024,Cittadella,0 - 0,Ascoli
20-04-2024,Ascoli,0 - 0,Modena
27-04-2024,Ternana,0 - 1,Ascoli
01-05-2024,Ascoli,0 - 1,Cosenza
05-05-2024,Palermo,2 - 2,Ascoli
10-05-2024,Ascoli,2 - 1,Pisa
18-08-2023,Bari,0 - 0,Palermo
26-08-2023,Cremonese,0 - 1,Bari
30-08-2023,Bari,1 - 1,Cittadella
03-09-2023,Ternana,0 - 0,Bari
16-09-2023,Pisa,1 - 1,Bari
24-09-2023,Bari,2 - 2,Catanzaro
27-09-2023,Parma,2 - 1,Bari
01-10-2023,Bari,1 - 1,Como
07-10-2023,Reggiana,1 - 1,Bari
21-10-2023,Bari,1 - 1,Modena
29-10-2023,Brescia,1 - 2,Bari
04-11-2023,Bari,1 - 0,Ascoli
11-11-2023,Feralpisalo,3 - 3,Bari
25-11-2023,Bari,0 - 3,Venezia
03-12-2023,Lecco,1 - 0,Bari
09-12-2023,Bari,2 - 1,Sudtirol
15-12-2023,Spezia,1 - 0,Bari
23-12-2023,Bari,0 - 0,Cosenza
26-12-2023,Sampdoria,1 - 1,Bari
13-01-2024,Bari,3 - 1,Ternana
21-01-2024,Ascoli,2 - 2,Bari
27-01-2024,Bari,0 - 2,Reggiana
02-02-2024,Palermo,3 - 0,Bari
10-02-2024,Bari,3 - 1,Lecco
17-02-2024,Bari,1 - 0,Feralpisalo
24-02-2024,Sudtirol,1 - 0,Bari
27-02-2024,Catanzaro,2 - 0,Bari
03-03-2024,Bari,1 - 1,Spezia
10-03-2024,Venezia,3 - 1,Bari
16-03-2024,Bari,0 - 1,Sampdoria
01-04-2024,Modena,1 - 1,Bari
05-04-2024,Bari,1 - 2,Cremonese
13-04-2024,Como,2 - 1,Bari
20-04-2024,Bari,1 - 1,Pisa
27-04-2024,Cosenza,4 - 1,Bari
01-05-2024,Bari,1 - 1,Parma
05-05-2024,Cittadella,1 - 1,Bari
10-05-2024,Bari,2 - 0,Brescia
16-05-2024,Bari,? - ?,Ternana
03-09-2023,Brescia,1 - 0,Cosenza
16-09-2023,Lecco,0 - 2,Brescia
23-09-2023,Brescia,0 - 0,Venezia
26-09-2023,Spezia,0 - 0,Brescia
30-09-2023,Brescia,1 - 1,Ascoli
06-10-2023,Brescia,1 - 1,Feralpisalo
21-10-2023,Ternana,0 - 1,Brescia
24-10-2023,Brescia,0 - 1,Modena
29-10-2023,Brescia,1 - 2,Bari
04-11-2023,Cittadella,3 - 2,Brescia
08-11-2023,Palermo,1 - 0,Brescia
12-11-2023,Brescia,0 - 3,Cremonese
25-11-2023,Pisa,1 - 1,Brescia
28-11-2023,Sudtirol,1 - 1,Brescia
03-12-2023,Brescia,3 - 1,Sampdoria
10-12-2023,Reggiana,1 - 1,Brescia
16-12-2023,Brescia,2 - 0,Como
23-12-2023,Catanzaro,2 - 3,Brescia
26-12-2023,Brescia,0 - 2,Parma
13-01-2024,Modena,1 - 2,Brescia
20-01-2024,Brescia,1 - 1,Sudtirol
27-01-2024,Cremonese,1 - 0,Brescia
03-02-2024,Brescia,2 - 0,Cittadella
09-02-2024,Como,1 - 0,Brescia
17-02-2024,Sampdoria,1 - 1,Brescia
24-02-2024,Brescia,0 - 0,Reggiana
27-02-2024,Ascoli,1 - 1,Brescia
02-03-2024,Brescia,4 - 2,Palermo
08-03-2024,Parma,2 - 1,Brescia
16-03-2024,Brescia,1 - 1,Catanzaro
01-04-2024,Cosenza,1 - 2,Brescia
06-04-2024,Brescia,3 - 1,Pisa
14-04-2024,Venezia,2 - 0,Brescia
20-04-2024,Brescia,0 - 0,Ternana
27-04-2024,Brescia,0 - 0,Spezia
01-05-2024,Feralpisalo,2 - 2,Brescia
05-05-2024,Brescia,4 - 1,Lecco
10-05-2024,Bari,2 - 0,Brescia
18-05-2024,Catanzaro,? - ?,Brescia
19-08-2023,Cremonese,0 - 0,Catanzaro
27-08-2023,Catanzaro,2 - 1,Ternana
30-08-2023,Catanzaro,3 - 0,Spezia
03-09-2023,Lecco,3 - 4,Catanzaro
17-09-2023,Catanzaro,0 - 5,Parma
24-09-2023,Bari,2 - 2,Catanzaro
27-09-2023,Catanzaro,1 - 1,Cittadella
01-10-2023,Sampdoria,1 - 2,Catanzaro
07-10-2023,Sudtirol,0 - 1,Catanzaro
21-10-2023,Catanzaro,3 - 0,Feralpisalo
28-10-2023,Como,1 - 0,Catanzaro
04-11-2023,Catanzaro,1 - 2,Modena
10-11-2023,Venezia,2 - 1,Catanzaro
26-11-2023,Catanzaro,2 - 0,Cosenza
01-12-2023,Palermo,1 - 2,Catanzaro
09-12-2023,Catanzaro,2 - 0,Pisa
16-12-2023,Ascoli,1 - 0,Catanzaro
23-12-2023,Catanzaro,2 - 3,Brescia
26-12-2023,Reggiana,1 - 0,Catanzaro
12-01-2024,Catanzaro,5 - 3,Lecco
20-01-2024,Feralpisalo,3 - 0,Catanzaro
26-01-2024,Catanzaro,1 - 1,Palermo
03-02-2024,Spezia,1 - 1,Catanzaro
10-02-2024,Catanzaro,3 - 2,Ascoli
17-02-2024,Catanzaro,2 - 2,Sudtirol
24-02-2024,Cittadella,1 - 2,Catanzaro
27-02-2024,Catanzaro,2 - 0,Bari
03-03-2024,Cosenza,0 - 2,Catanzaro
09-03-2024,Catanzaro,0 - 1,Reggiana
16-03-2024,Brescia,1 - 1,Catanzaro
01-04-2024,Parma,0 - 2,Catanzaro
06-04-2024,Catanzaro,1 - 2,Como
12-04-2024,Modena,1 - 3,Catanzaro
20-04-2024,Catanzaro,0 - 0,Cremonese
26-04-2024,Pisa,2 - 2,Catanzaro
01-05-2024,Catanzaro,3 - 2,Venezia
05-05-2024,Ternana,1 - 0,Catanzaro
10-05-2024,Catanzaro,1 - 3,Sampdoria
18-05-2024,Catanzaro,? - ?,Brescia
20-08-2023,Cittadella,1 - 0,Reggiana
26-08-2023,Parma,2 - 0,Cittadella
30-08-2023,Bari,1 - 1,Cittadella
03-09-2023,Cittadella,0 - 0,Venezia
18-09-2023,Sampdoria,1 - 2,Cittadella
24-09-2023,Cittadella,0 - 3,Como
27-09-2023,Catanzaro,1 - 1,Cittadella
01-10-2023,Cittadella,2 - 1,Lecco
07-10-2023,Cittadella,2 - 2,Ternana
21-10-2023,Pisa,2 - 1,Cittadella
27-10-2023,Cittadella,1 - 2,Cremonese
04-11-2023,Cittadella,3 - 2,Brescia
12-11-2023,Palermo,0 - 1,Cittadella
25-11-2023,Cittadella,2 - 1,Sudtirol
02-12-2023,Feralpisalo,0 - 1,Cittadella
09-12-2023,Cittadella,2 - 0,Cosenza
16-12-2023,Modena,1 - 1,Cittadella
23-12-2023,Cittadella,4 - 1,Spezia
26-12-2023,Ascoli,0 - 0,Cittadella
13-01-2024,Cittadella,2 - 0,Palermo
20-01-2024,Ternana,3 - 1,Cittadella
28-01-2024,Cittadella,1 - 2,Sampdoria
03-02-2024,Brescia,2 - 0,Cittadella
10-02-2024,Cittadella,1 - 2,Parma
17-02-2024,Spezia,4 - 2,Cittadella
24-02-2024,Cittadella,1 - 2,Catanzaro
28-02-2024,Venezia,2 - 0,Cittadella
03-03-2024,Cittadella,0 - 1,Pisa
09-03-2024,Cosenza,0 - 0,Cittadella
16-03-2024,Cittadella,1 - 1,Modena
01-04-2024,Lecco,1 - 1,Cittadella
06-04-2024,Reggiana,0 - 2,Cittadella
13-04-2024,Cittadella,0 - 0,Ascoli
20-04-2024,Sudtirol,0 - 0,Cittadella
27-04-2024,Cittadella,1 - 1,Feralpisalo
01-05-2024,Como,2 - 1,Cittadella
05-05-2024,Cittadella,1 - 1,Bari
10-05-2024,Cremonese,3 - 0,Cittadella
20-08-2023,Venezia,3 - 0,Como
26-08-2023,Como,2 - 2,Reggiana
03-09-2023,Spezia,0 - 1,Como
17-09-2023,Como,2 - 1,Ternana
24-09-2023,Cittadella,0 - 3,Como
27-09-2023,Como,1 - 0,Sampdoria
01-10-2023,Bari,1 - 1,Como
08-10-2023,Como,1 - 3,Cremonese
20-10-2023,Parma,2 - 1,Como
28-10-2023,Como,1 - 0,Catanzaro
04-11-2023,Pisa,1 - 1,Como
11-11-2023,Ascoli,0 - 1,Como
25-11-2023,Como,2 - 1,Feralpisalo
28-11-2023,Como,0 - 0,Lecco
03-12-2023,Sudtirol,0 - 1,Como
10-12-2023,Como,2 - 1,Modena
16-12-2023,Brescia,2 - 0,Como
23-12-2023,Como,3 - 3,Palermo
26-12-2023,Cosenza,1 - 2,Como
13-01-2024,Como,4 - 0,Spezia
20-01-2024,Reggiana,2 - 2,Como
27-01-2024,Como,0 - 2,Ascoli
03-02-2024,Ternana,0 - 1,Como
09-02-2024,Como,1 - 0,Brescia
17-02-2024,Palermo,3 - 0,Como
24-02-2024,Como,1 - 1,Parma
27-02-2024,Lecco,0 - 3,Como
03-03-2024,Como,2 - 1,Venezia
09-03-2024,Cremonese,2 - 1,Como
16-03-2024,Como,3 - 1,Pisa
01-04-2024,Como,2 - 0,Sudtirol
06-04-2024,Catanzaro,1 - 2,Como
13-04-2024,Como,2 - 1,Bari
20-04-2024,Feralpisalo,2 - 5,Como
27-04-2024,Sampdoria,1 - 1,Como
01-05-2024,Como,2 - 1,Cittadella
05-05-2024,Modena,0 - 0,Como
10-05-2024,Como,1 - 1,Cosenza
19-08-2023,Cosenza,3 - 0,Ascoli
26-08-2023,Venezia,1 - 1,Cosenza
29-08-2023,Cosenza,1 - 2,Modena
03-09-2023,Brescia,1 - 0,Cosenza
16-09-2023,Cosenza,2 - 2,Sudtirol
22-09-2023,Palermo,0 - 1,Cosenza
26-09-2023,Cosenza,1 - 2,Cremonese
30-09-2023,Pisa,1 - 2,Cosenza
07-10-2023,Cosenza,3 - 0,Lecco
22-10-2023,Sampdoria,2 - 0,Cosenza
28-10-2023,Spezia,0 - 0,Cosenza
04-11-2023,Cosenza,1 - 1,Feralpisalo
11-11-2023,Cosenza,2 - 0,Reggiana
26-11-2023,Catanzaro,2 - 0,Cosenza
02-12-2023,Cosenza,1 - 3,Ternana
09-12-2023,Cittadella,2 - 0,Cosenza
16-12-2023,Cosenza,0 - 0,Parma
23-12-2023,Bari,0 - 0,Cosenza
26-12-2023,Cosenza,1 - 2,Como
14-01-2024,Cremonese,1 - 0,Cosenza
20-01-2024,Cosenza,4 - 2,Venezia
27-01-2024,Sudtirol,0 - 1,Cosenza
03-02-2024,Cosenza,1 - 1,Pisa
10-02-2024,Modena,1 - 1,Cosenza
17-02-2024,Lecco,1 - 3,Cosenza
23-02-2024,Cosenza,1 - 2,Sampdoria
27-02-2024,Parma,1 - 1,Cosenza
03-03-2024,Cosenza,0 - 2,Catanzaro
09-03-2024,Cosenza,0 - 0,Cittadella
16-03-2024,Ternana,1 - 0,Cosenza
01-04-2024,Cosenza,1 - 2,Brescia
06-04-2024,Feralpisalo,2 - 2,Cosenza
13-04-2024,Cosenza,1 - 1,Palermo
19-04-2024,Reggiana,0 - 4,Cosenza
27-04-2024,Cosenza,4 - 1,Bari
01-05-2024,Ascoli,0 - 1,Cosenza
05-05-2024,Cosenza,2 - 2,Spezia
10-05-2024,Como,1 - 1,Cosenza
19-08-2023,Cremonese,0 - 0,Catanzaro
26-08-2023,Cremonese,0 - 1,Bari
30-08-2023,Ternana,0 - 1,Cremonese
03-09-2023,Cremonese,1 - 1,Sampdoria
16-09-2023,Reggiana,2 - 2,Cremonese
23-09-2023,Cremonese,2 - 2,Ascoli
26-09-2023,Cosenza,1 - 2,Cremonese
01-10-2023,Cremonese,1 - 2,Parma
08-10-2023,Como,1 - 3,Cremonese
21-10-2023,Cremonese,0 - 1,Sudtirol
27-10-2023,Cittadella,1 - 2,Cremonese
05-11-2023,Cremonese,3 - 0,Spezia
12-11-2023,Brescia,0 - 3,Cremonese
25-11-2023,Cremonese,1 - 0,Lecco
02-12-2023,Pisa,0 - 0,Cremonese
09-12-2023,Cremonese,1 - 0,Venezia
16-12-2023,Feralpisalo,1 - 0,Cremonese
23-12-2023,Cremonese,4 - 0,Modena
26-12-2023,Palermo,3 - 2,Cremonese
14-01-2024,Cremonese,1 - 0,Cosenza
20-01-2024,Spezia,0 - 1,Cremonese
27-01-2024,Cremonese,1 - 0,Brescia
03-02-2024,Lecco,0 - 1,Cremonese
10-02-2024,Cremonese,1 - 1,Reggiana
16-02-2024,Ascoli,0 - 0,Cremonese
24-02-2024,Cremonese,2 - 2,Palermo
27-02-2024,Sampdoria,1 - 2,Cremonese
03-03-2024,Modena,0 - 1,Cremonese
09-03-2024,Cremonese,2 - 1,Como
16-03-2024,Sudtirol,3 - 0,Cremonese
01-04-2024,Cremonese,0 - 1,Feralpisalo
05-04-2024,Bari,1 - 2,Cremonese
13-04-2024,Cremonese,1 - 2,Ternana
20-04-2024,Catanzaro,0 - 0,Cremonese
26-04-2024,Venezia,2 - 1,Cremonese
01-05-2024,Cremonese,2 - 1,Pisa
05-05-2024,Parma,1 - 1,Cremonese
10-05-2024,Cremonese,3 - 0,Cittadella
20-08-2023,Parma,2 - 0,Feralpisalo
26-08-2023,Feralpisalo,0 - 2,Sudtirol
29-08-2023,Ascoli,3 - 0,Feralpisalo
02-09-2023,Palermo,3 - 0,Feralpisalo
16-09-2023,Feralpisalo,1 - 1,Modena
23-09-2023,Feralpisalo,0 - 1,Pisa
26-09-2023,Lecco,1 - 2,Feralpisalo
30-09-2023,Feralpisalo,1 - 2,Spezia
06-10-2023,Brescia,1 - 1,Feralpisalo
21-10-2023,Catanzaro,3 - 0,Feralpisalo
28-10-2023,Feralpisalo,0 - 3,Reggiana
04-11-2023,Cosenza,1 - 1,Feralpisalo
11-11-2023,Feralpisalo,3 - 3,Bari
25-11-2023,Como,2 - 1,Feralpisalo
02-12-2023,Feralpisalo,0 - 1,Cittadella
09-12-2023,Ternana,2 - 1,Feralpisalo
16-12-2023,Feralpisalo,1 - 0,Cremonese
23-12-2023,Sampdoria,2 - 3,Feralpisalo
26-12-2023,Feralpisalo,2 - 2,Venezia
13-01-2024,Sudtirol,1 - 0,Feralpisalo
20-01-2024,Feralpisalo,3 - 0,Catanzaro
27-01-2024,Feralpisalo,5 - 1,Lecco
03-02-2024,Reggiana,1 - 1,Feralpisalo
10-02-2024,Feralpisalo,1 - 2,Palermo
17-02-2024,Bari,1 - 0,Feralpisalo
24-02-2024,Feralpisalo,0 - 1,Ascoli
28-02-2024,Spezia,0 - 2,Feralpisalo
03-03-2024,Feralpisalo,1 - 3,Sampdoria
09-03-2024,Modena,2 - 3,Feralpisalo
16-03-2024,Feralpisalo,1 - 2,Parma
01-04-2024,Cremonese,0 - 1,Feralpisalo
06-04-2024,Feralpisalo,2 - 2,Cosenza
13-04-2024,Pisa,3 - 1,Feralpisalo
20-04-2024,Feralpisalo,2 - 5,Como
27-04-2024,Cittadella,1 - 1,Feralpisalo
01-05-2024,Feralpisalo,2 - 2,Brescia
05-05-2024,Venezia,2 - 1,Feralpisalo
10-05-2024,Feralpisalo,0 - 1,Ternana
03-09-2023,Lecco,3 - 4,Catanzaro
16-09-2023,Lecco,0 - 2,Brescia
23-09-2023,Modena,0 - 0,Lecco
26-09-2023,Lecco,1 - 2,Feralpisalo
01-10-2023,Cittadella,2 - 1,Lecco
07-10-2023,Cosenza,3 - 0,Lecco
21-10-2023,Lecco,0 - 2,Ascoli
24-10-2023,Pisa,1 - 2,Lecco
29-10-2023,Palermo,1 - 2,Lecco
05-11-2023,Reggiana,1 - 1,Lecco
08-11-2023,Lecco,0 - 0,Spezia
12-11-2023,Lecco,3 - 2,Parma
25-11-2023,Cremonese,1 - 0,Lecco
28-11-2023,Como,0 - 0,Lecco
03-12-2023,Lecco,1 - 0,Bari
09-12-2023,Sampdoria,2 - 0,Lecco
17-12-2023,Lecco,2 - 3,Ternana
23-12-2023,Venezia,2 - 2,Lecco
26-12-2023,Lecco,2 - 1,Sudtirol
12-01-2024,Catanzaro,5 - 3,Lecco
20-01-2024,Lecco,1 - 3,Pisa
27-01-2024,Feralpisalo,5 - 1,Lecco
03-02-2024,Lecco,0 - 1,Cremonese
10-02-2024,Bari,3 - 1,Lecco
17-02-2024,Lecco,1 - 3,Cosenza
24-02-2024,Ternana,0 - 0,Lecco
27-02-2024,Lecco,0 - 3,Como
02-03-2024,Sudtirol,1 - 0,Lecco
10-03-2024,Lecco,0 - 1,Palermo
17-03-2024,Ascoli,4 - 1,Lecco
01-04-2024,Lecco,1 - 1,Cittadella
06-04-2024,Spezia,1 - 1,Lecco
13-04-2024,Lecco,1 - 0,Reggiana
20-04-2024,Lecco,1 - 2,Venezia
