date,home_team,score,away_team
27-04-2024,Parma,4 - 0,Lecco
01-05-2024,Lecco,0 - 1,Sampdoria
05-05-2024,Brescia,4 - 1,Lecco
10-05-2024,Lecco,2 - 3,Modena
26-08-2023,Modena,1 - 0,Ascoli
29-08-2023,Cosenza,1 - 2,Modena
02-09-2023,Modena,2 - 0,Pisa
16-09-2023,Feralpisalo,1 - 1,Modena
23-09-2023,Modena,0 - 0,Lecco
26-09-2023,Sudtirol,0 - 0,Modena
30-09-2023,Modena,1 - 3,Venezia
07-10-2023,Modena,0 - 2,Palermo
21-10-2023,Bari,1 - 1,Modena
24-10-2023,Brescia,0 - 1,Modena
29-10-2023,Modena,2 - 1,Ternana
04-11-2023,Catanzaro,1 - 2,Modena
11-11-2023,Modena,0 - 2,Sampdoria
25-11-2023,Parma,1 - 1,Modena
02-12-2023,Modena,2 - 1,Reggiana
10-12-2023,Como,2 - 1,Modena
16-12-2023,Modena,1 - 1,Cittadella
23-12-2023,Cremonese,4 - 0,Modena
26-12-2023,Spezia,1 - 1,Modena
13-01-2024,Modena,1 - 2,Brescia
20-01-2024,Palermo,4 - 2,Modena
27-01-2024,Modena,3 - 0,Parma
03-02-2024,Sampdoria,2 - 2,Modena
10-02-2024,Modena,1 - 1,Cosenza
18-02-2024,Venezia,2 - 2,Modena
25-02-2024,Modena,0 - 0,Spezia
28-02-2024,Pisa,2 - 2,Modena
03-03-2024,Modena,0 - 1,Cremonese
09-03-2024,Modena,2 - 3,Feralpisalo
16-03-2024,Cittadella,1 - 1,Modena
01-04-2024,Modena,1 - 1,Bari
06-04-2024,Ternana,0 - 0,Modena
12-04-2024,Modena,1 - 3,Catanzaro
20-04-2024,Ascoli,0 - 0,Modena
27-04-2024,Modena,1 - 0,Sudtirol
01-05-2024,Reggiana,1 - 0,Modena
05-05-2024,Modena,0 - 0,Como
10-05-2024,Lecco,2 - 3,Modena
18-08-2023,Bari,0 - 0,Palermo
29-08-2023,Reggiana,1 - 3,Palermo
02-09-2023,Palermo,3 - 0,Feralpisalo
16-09-2023,Ascoli,0 - 1,Palermo
22-09-2023,Palermo,0 - 1,Cosenza
26-09-2023,Venezia,1 - 3,Palermo
01-10-2023,Palermo,2 - 1,Sudtirol
07-10-2023,Modena,0 - 2,Palermo
23-10-2023,Palermo,2 - 2,Spezia
29-10-2023,Palermo,1 - 2,Lecco
04-11-2023,Sampdoria,1 - 0,Palermo
08-11-2023,Palermo,1 - 0,Brescia
12-11-2023,Palermo,0 - 1,Cittadella
26-11-2023,Ternana,1 - 1,Palermo
01-12-2023,Palermo,1 - 2,Catanzaro
10-12-2023,Parma,3 - 3,Palermo
16-12-2023,Palermo,3 - 2,Pisa
23-12-2023,Como,3 - 3,Palermo
26-12-2023,Palermo,3 - 2,Cremonese
13-01-2024,Cittadella,2 - 0,Palermo
20-01-2024,Palermo,4 - 2,Modena
26-01-2024,Catanzaro,1 - 1,Palermo
02-02-2024,Palermo,3 - 0,Bari
10-02-2024,Feralpisalo,1 - 2,Palermo
17-02-2024,Palermo,3 - 0,Como
24-02-2024,Cremonese,2 - 2,Palermo
27-02-2024,Palermo,2 - 3,Ternana
02-03-2024,Brescia,4 - 2,Palermo
10-03-2024,Lecco,0 - 1,Palermo
15-03-2024,Palermo,0 - 3,Venezia
01-04-2024,Pisa,4 - 3,Palermo
06-04-2024,Palermo,2 - 2,Sampdoria
13-04-2024,Cosenza,1 - 1,Palermo
19-04-2024,Palermo,0 - 0,Parma
27-04-2024,Palermo,1 - 2,Reggiana
01-05-2024,Spezia,1 - 0,Palermo
05-05-2024,Palermo,2 - 2,Ascoli
10-05-2024,Sudtirol,0 - 1,Palermo
17-05-2024,Palermo,? - ?,Sampdoria
20-08-2023,Parma,2 - 0,Feralpisalo
26-08-2023,Parma,2 - 0,Cittadella
29-08-2023,Pisa,1 - 2,Parma
02-09-2023,Parma,0 - 0,Reggiana
17-09-2023,Catanzaro,0 - 5,Parma
24-09-2023,Parma,1 - 1,Sampdoria
27-09-2023,Parma,2 - 1,Bari
01-10-2023,Cremonese,1 - 2,Parma
07-10-2023,Venezia,3 - 2,Parma
20-10-2023,Parma,2 - 1,Como
28-10-2023,Ascoli,1 - 3,Parma
05-11-2023,Parma,2 - 0,Sudtirol
12-11-2023,Lecco,3 - 2,Parma
25-11-2023,Parma,1 - 1,Modena
02-12-2023,Spezia,0 - 1,Parma
10-12-2023,Parma,3 - 3,Palermo
16-12-2023,Cosenza,0 - 0,Parma
23-12-2023,Parma,3 - 1,Ternana
26-12-2023,Brescia,0 - 2,Parma
14-01-2024,Parma,1 - 1,Ascoli
19-01-2024,Sampdoria,0 - 3,Parma
27-01-2024,Modena,3 - 0,Parma
03-02-2024,Parma,2 - 1,Venezia
10-02-2024,Cittadella,1 - 2,Parma
17-02-2024,Parma,3 - 2,Pisa
24-02-2024,Como,1 - 1,Parma
27-02-2024,Parma,1 - 1,Cosenza
02-03-2024,Ternana,1 - 3,Parma
08-03-2024,Parma,2 - 1,Brescia
16-03-2024,Feralpisalo,1 - 2,Parma
01-04-2024,Parma,0 - 2,Catanzaro
06-04-2024,Sudtirol,0 - 0,Parma
13-04-2024,Parma,2 - 0,Spezia
19-04-2024,Palermo,0 - 0,Parma
27-04-2024,Parma,4 - 0,Lecco
01-05-2024,Bari,1 - 1,Parma
05-05-2024,Parma,1 - 1,Cremonese
10-05-2024,Reggiana,1 - 1,Parma
25-08-2023,Sampdoria,0 - 2,Pisa
29-08-2023,Pisa,1 - 2,Parma
02-09-2023,Modena,2 - 0,Pisa
16-09-2023,Pisa,1 - 1,Bari
23-09-2023,Feralpisalo,0 - 1,Pisa
26-09-2023,Reggiana,0 - 0,Pisa
30-09-2023,Pisa,1 - 2,Cosenza
08-10-2023,Spezia,0 - 0,Pisa
21-10-2023,Pisa,2 - 1,Cittadella
24-10-2023,Pisa,1 - 2,Lecco
29-10-2023,Venezia,2 - 1,Pisa
04-11-2023,Pisa,1 - 1,Como
11-11-2023,Sudtirol,1 - 2,Pisa
25-11-2023,Pisa,1 - 1,Brescia
02-12-2023,Pisa,0 - 0,Cremonese
09-12-2023,Catanzaro,2 - 0,Pisa
16-12-2023,Palermo,3 - 2,Pisa
23-12-2023,Pisa,1 - 0,Ascoli
26-12-2023,Ternana,1 - 1,Pisa
13-01-2024,Pisa,2 - 2,Reggiana
20-01-2024,Lecco,1 - 3,Pisa
27-01-2024,Pisa,2 - 3,Spezia
03-02-2024,Cosenza,1 - 1,Pisa
10-02-2024,Pisa,2 - 0,Sampdoria
17-02-2024,Parma,3 - 2,Pisa
24-02-2024,Pisa,1 - 2,Venezia
28-02-2024,Pisa,2 - 2,Modena
03-03-2024,Cittadella,0 - 1,Pisa
09-03-2024,Pisa,1 - 0,Ternana
16-03-2024,Como,3 - 1,Pisa
01-04-2024,Pisa,4 - 3,Palermo
06-04-2024,Brescia,3 - 1,Pisa
13-04-2024,Pisa,3 - 1,Feralpisalo
20-04-2024,Bari,1 - 1,Pisa
26-04-2024,Pisa,2 - 2,Catanzaro
01-05-2024,Cremonese,2 - 1,Pisa
05-05-2024,Pisa,2 - 2,Sudtirol
10-05-2024,Ascoli,2 - 1,Pisa
20-08-2023,Cittadella,1 - 0,Reggiana
26-08-2023,Como,2 - 2,Reggiana
29-08-2023,Reggiana,1 - 3,Palermo
02-09-2023,Parma,0 - 0,Reggiana
16-09-2023,Reggiana,2 - 2,Cremonese
23-09-2023,Spezia,1 - 2,Reggiana
26-09-2023,Reggiana,0 - 0,Pisa
30-09-2023,Ternana,3 - 0,Reggiana
07-10-2023,Reggiana,1 - 1,Bari
22-10-2023,Reggiana,1 - 0,Venezia
28-10-2023,Feralpisalo,0 - 3,Reggiana
05-11-2023,Reggiana,1 - 1,Lecco
11-11-2023,Cosenza,2 - 0,Reggiana
25-11-2023,Reggiana,1 - 1,Ascoli
02-12-2023,Modena,2 - 1,Reggiana
10-12-2023,Reggiana,1 - 1,Brescia
16-12-2023,Reggiana,1 - 2,Sampdoria
23-12-2023,Sudtirol,2 - 3,Reggiana
26-12-2023,Reggiana,1 - 0,Catanzaro
13-01-2024,Pisa,2 - 2,Reggiana
20-01-2024,Reggiana,2 - 2,Como
27-01-2024,Bari,0 - 2,Reggiana
03-02-2024,Reggiana,1 - 1,Feralpisalo
10-02-2024,Cremonese,1 - 1,Reggiana
17-02-2024,Reggiana,0 - 2,Ternana
24-02-2024,Brescia,0 - 0,Reggiana
27-02-2024,Reggiana,1 - 1,Sudtirol
03-03-2024,Ascoli,0 - 0,Reggiana
09-03-2024,Catanzaro,0 - 1,Reggiana
16-03-2024,Reggiana,0 - 0,Spezia
01-04-2024,Venezia,2 - 3,Reggiana
06-04-2024,Reggiana,0 - 2,Cittadella
13-04-2024,Lecco,1 - 0,Reggiana
19-04-2024,Reggiana,0 - 4,Cosenza
27-04-2024,Palermo,1 - 2,Reggiana
01-05-2024,Reggiana,1 - 0,Modena
05-05-2024,Sampdoria,1 - 0,Reggiana
10-05-2024,Reggiana,1 - 1,Parma
19-08-2023,Ternana,1 - 2,Sampdoria
25-08-2023,Sampdoria,0 - 2,Pisa
30-08-2023,Sampdoria,1 - 2,Venezia
03-09-2023,Cremonese,1 - 1,Sampdoria
18-09-2023,Sampdoria,1 - 2,Cittadella
24-09-2023,Parma,1 - 1,Sampdoria
27-09-2023,Como,1 - 0,Sampdoria
01-10-2023,Sampdoria,1 - 2,Catanzaro
07-10-2023,Ascoli,1 - 1,Sampdoria
22-10-2023,Sampdoria,2 - 0,Cosenza
28-10-2023,Sudtirol,3 - 1,Sampdoria
04-11-2023,Sampdoria,1 - 0,Palermo
11-11-2023,Modena,0 - 2,Sampdoria
24-11-2023,Sampdoria,2 - 1,Spezia
03-12-2023,Brescia,3 - 1,Sampdoria
09-12-2023,Sampdoria,2 - 0,Lecco
16-12-2023,Reggiana,1 - 2,Sampdoria
23-12-2023,Sampdoria,2 - 3,Feralpisalo
26-12-2023,Sampdoria,1 - 1,Bari
14-01-2024,Venezia,5 - 3,Sampdoria
19-01-2024,Sampdoria,0 - 3,Parma
28-01-2024,Cittadella,1 - 2,Sampdoria
03-02-2024,Sampdoria,2 - 2,Modena
10-02-2024,Pisa,2 - 0,Sampdoria
17-02-2024,Sampdoria,1 - 1,Brescia
23-02-2024,Cosenza,1 - 2,Sampdoria
27-02-2024,Sampdoria,1 - 2,Cremonese
03-03-2024,Feralpisalo,1 - 3,Sampdoria
11-03-2024,Sampdoria,2 - 1,Ascoli
16-03-2024,Bari,0 - 1,Sampdoria
01-04-2024,Sampdoria,4 - 1,Ternana
06-04-2024,Palermo,2 - 2,Sampdoria
13-04-2024,Sampdoria,0 - 1,Sudtirol
20-04-2024,Spezia,0 - 0,Sampdoria
27-04-2024,Sampdoria,1 - 1,Como
01-05-2024,Lecco,0 - 1,Sampdoria
05-05-2024,Sampdoria,1 - 0,Reggiana
10-05-2024,Catanzaro,1 - 3,Sampdoria
17-05-2024,Palermo,? - ?,Sampdoria
20-08-2023,Sudtirol,3 - 3,Spezia
30-08-2023,Catanzaro,3 - 0,Spezia
03-09-2023,Spezia,0 - 1,Como
15-09-2023,Venezia,1 - 0,Spezia
23-09-2023,Spezia,1 - 2,Reggiana
26-09-2023,Spezia,0 - 0,Brescia
30-09-2023,Feralpisalo,1 - 2,Spezia
08-10-2023,Spezia,0 - 0,Pisa
23-10-2023,Palermo,2 - 2,Spezia
28-10-2023,Spezia,0 - 0,Cosenza
05-11-2023,Cremonese,3 - 0,Spezia
08-11-2023,Lecco,0 - 0,Spezia
12-11-2023,Spezia,2 - 2,Ternana
24-11-2023,Sampdoria,2 - 1,Spezia
02-12-2023,Spezia,0 - 1,Parma
09-12-2023,Ascoli,1 - 2,Spezia
15-12-2023,Spezia,1 - 0,Bari
23-12-2023,Cittadella,4 - 1,Spezia
26-12-2023,Spezia,1 - 1,Modena
13-01-2024,Como,4 - 0,Spezia
20-01-2024,Spezia,0 - 1,Cremonese
27-01-2024,Pisa,2 - 3,Spezia
03-02-2024,Spezia,1 - 1,Catanzaro
11-02-2024,Ternana,1 - 1,Spezia
17-02-2024,Spezia,4 - 2,Cittadella
25-02-2024,Modena,0 - 0,Spezia
28-02-2024,Spezia,0 - 2,Feralpisalo
03-03-2024,Bari,1 - 1,Spezia
09-03-2024,Spezia,2 - 1,Sudtirol
16-03-2024,Reggiana,0 - 0,Spezia
01-04-2024,Spezia,2 - 1,Ascoli
06-04-2024,Spezia,1 - 1,Lecco
13-04-2024,Parma,2 - 0,Spezia
20-04-2024,Spezia,0 - 0,Sampdoria
27-04-2024,Brescia,0 - 0,Spezia
01-05-2024,Spezia,1 - 0,Palermo
05-05-2024,Cosenza,2 - 2,Spezia
10-05-2024,Spezia,2 - 1,Venezia
20-08-2023,Sudtirol,3 - 3,Spezia
26-08-2023,Feralpisalo,0 - 2,Sudtirol
02-09-2023,Sudtirol,3 - 1,Ascoli
16-09-2023,Cosenza,2 - 2,Sudtirol
23-09-2023,Ternana,1 - 1,Sudtirol
26-09-2023,Sudtirol,0 - 0,Modena
01-10-2023,Palermo,2 - 1,Sudtirol
07-10-2023,Sudtirol,0 - 1,Catanzaro
21-10-2023,Cremonese,0 - 1,Sudtirol
28-10-2023,Sudtirol,3 - 1,Sampdoria
05-11-2023,Parma,2 - 0,Sudtirol
11-11-2023,Sudtirol,1 - 2,Pisa
25-11-2023,Cittadella,2 - 1,Sudtirol
28-11-2023,Sudtirol,1 - 1,Brescia
03-12-2023,Sudtirol,0 - 1,Como
09-12-2023,Bari,2 - 1,Sudtirol
16-12-2023,Venezia,2 - 3,Sudtirol
23-12-2023,Sudtirol,2 - 3,Reggiana
26-12-2023,Lecco,2 - 1,Sudtirol
13-01-2024,Sudtirol,1 - 0,Feralpisalo
20-01-2024,Brescia,1 - 1,Sudtirol
27-01-2024,Sudtirol,0 - 1,Cosenza
04-02-2024,Ascoli,1 - 2,Sudtirol
10-02-2024,Sudtirol,0 - 3,Venezia
17-02-2024,Catanzaro,2 - 2,Sudtirol
24-02-2024,Sudtirol,1 - 0,Bari
27-02-2024,Reggiana,1 - 1,Sudtirol
02-03-2024,Sudtirol,1 - 0,Lecco
09-03-2024,Spezia,2 - 1,Sudtirol
16-03-2024,Sudtirol,3 - 0,Cremonese
01-04-2024,Como,2 - 0,Sudtirol
06-04-2024,Sudtirol,0 - 0,Parma
13-04-2024,Sampdoria,0 - 1,Sudtirol
20-04-2024,Sudtirol,0 - 0,Cittadella
27-04-2024,Modena,1 - 0,Sudtirol
01-05-2024,Sudtirol,4 - 3,Ternana
05-05-2024,Pisa,2 - 2,Sudtirol
10-05-2024,Sudtirol,0 - 1,Palermo
19-08-2023,Ternana,1 - 2,Sampdoria
27-08-2023,Catanzaro,2 - 1,Ternana
30-08-2023,Ternana,0 - 1,Cremonese
03-09-2023,Ternana,0 - 0,Bari
17-09-2023,Como,2 - 1,Ternana
23-09-2023,Ternana,1 - 1,Sudtirol
26-09-2023,Ascoli,2 - 0,Ternana
30-09-2023,Ternana,3 - 0,Reggiana
07-10-2023,Cittadella,2 - 2,Ternana
21-10-2023,Ternana,0 - 1,Brescia
29-10-2023,Modena,2 - 1,Ternana
04-11-2023,Ternana,0 - 1,Venezia
12-11-2023,Spezia,2 - 2,Ternana
26-11-2023,Ternana,1 - 1,Palermo
02-12-2023,Cosenza,1 - 3,Ternana
09-12-2023,Ternana,2 - 1,Feralpisalo
17-12-2023,Lecco,2 - 3,Ternana
23-12-2023,Parma,3 - 1,Ternana
26-12-2023,Ternana,1 - 1,Pisa
13-01-2024,Bari,3 - 1,Ternana
20-01-2024,Ternana,3 - 1,Cittadella
27-01-2024,Venezia,1 - 0,Ternana
03-02-2024,Ternana,0 - 1,Como
11-02-2024,Ternana,1 - 1,Spezia
17-02-2024,Reggiana,0 - 2,Ternana
24-02-2024,Ternana,0 - 0,Lecco
27-02-2024,Palermo,2 - 3,Ternana
02-03-2024,Ternana,1 - 3,Parma
09-03-2024,Pisa,1 - 0,Ternana
16-03-2024,Ternana,1 - 0,Cosenza
01-04-2024,Sampdoria,4 - 1,Ternana
06-04-2024,Ternana,0 - 0,Modena
13-04-2024,Cremonese,1 - 2,Ternana
20-04-2024,Brescia,0 - 0,Ternana
27-04-2024,Ternana,0 - 1,Ascoli
01-05-2024,Sudtirol,4 - 3,Ternana
05-05-2024,Ternana,1 - 0,Catanzaro
10-05-2024,Feralpisalo,0 - 1,Ternana
16-05-2024,Bari,? - ?,Ternana
20-08-2023,Venezia,3 - 0,Como
26-08-2023,Venezia,1 - 1,Cosenza
30-08-2023,Sampdoria,1 - 2,Venezia
03-09-2023,Cittadella,0 - 0,Venezia
15-09-2023,Venezia,1 - 0,Spezia
23-09-2023,Brescia,0 - 0,Venezia
26-09-2023,Venezia,1 - 3,Palermo
30-09-2023,Modena,1 - 3,Venezia
07-10-2023,Venezia,3 - 2,Parma
22-10-2023,Reggiana,1 - 0,Venezia
29-10-2023,Venezia,2 - 1,Pisa
04-11-2023,Ternana,0 - 1,Venezia
10-11-2023,Venezia,2 - 1,Catanzaro
25-11-2023,Bari,0 - 3,Venezia
02-12-2023,Venezia,3 - 1,Ascoli
09-12-2023,Cremonese,1 - 0,Venezia
16-12-2023,Venezia,2 - 3,Sudtirol
23-12-2023,Venezia,2 - 2,Lecco
26-12-2023,Feralpisalo,2 - 2,Venezia
14-01-2024,Venezia,5 - 3,Sampdoria
20-01-2024,Cosenza,4 - 2,Venezia
27-01-2024,Venezia,1 - 0,Ternana
03-02-2024,Parma,2 - 1,Venezia
10-02-2024,Sudtirol,0 - 3,Venezia
18-02-2024,Venezia,2 - 2,Modena
24-02-2024,Pisa,1 - 2,Venezia
28-02-2024,Venezia,2 - 0,Cittadella
03-03-2024,Como,2 - 1,Venezia
10-03-2024,Venezia,3 - 1,Bari
15-03-2024,Palermo,0 - 3,Venezia
01-04-2024,Venezia,2 - 3,Reggiana
07-04-2024,Ascoli,0 - 0,Venezia
14-04-2024,Venezia,2 - 0,Brescia
20-04-2024,Lecco,1 - 2,Venezia
26-04-2024,Venezia,2 - 1,Cremonese
01-05-2024,Catanzaro,3 - 2,Venezia
05-05-2024,Venezia,2 - 1,Feralpisalo
10-05-2024,Spezia,2 - 1,Venezia
